Sample	 Chromosome	App status	Time
HG00108.lowcoverage.chr20.smallregion	ALL	BWAMEM start	1500194838
HG00108.lowcoverage.chr20.smallregion	ALL	BWAMEM end	1500194850
HG00108.lowcoverage.chr20.smallregion	ALL	SAMTOOLS_VIEW start	1500194838
HG00108.lowcoverage.chr20.smallregion	ALL	SAMTOOLS_VIEW end	1500194851
HG00108.lowcoverage.chr20.smallregion	ALL	NOVOSORT start	1500194851
HG00108.lowcoverage.chr20.smallregion	ALL	NOVOSORT end	1500194852
HG00108.lowcoverage.chr20.smallregion	20	PrintReads start	1500194854
HG00108.lowcoverage.chr20.smallregion	20	PrintReads end	1500194993
HG00108.lowcoverage.chr20.smallregion	20	BaseRecalibrator start	1500194854
HG00108.lowcoverage.chr20.smallregion	20	BaseRecalibrator end	1500194973
HG00108.lowcoverage.chr20.smallregion	20	RealignerTargetCreator start	1500194854
HG00108.lowcoverage.chr20.smallregion	20	RealignerTargetCreator end	1500194926
HG00108.lowcoverage.chr20.smallregion	20	IndelRealigner start	1500194854
HG00108.lowcoverage.chr20.smallregion	20	IndelRealigner end	1500194945
HG00108.lowcoverage.chr20.smallregion	20	HaplotypeCaller start	1500194854
HG00108.lowcoverage.chr20.smallregion	20	HaplotypeCaller end	1500195248
HG00108.lowcoverage.chr20.smallregion	ALL	CombineGVCFs start	1500195248
HG00108.lowcoverage.chr20.smallregion	ALL	CombineGVCFs end	1500195400
HG00111.lowcoverage.chr20.smallregion	ALL	SAMTOOLS_VIEW start	1500212626
HG00111.lowcoverage.chr20.smallregion	ALL	SAMTOOLS_VIEW end	1500212638
HG00111.lowcoverage.chr20.smallregion	ALL	NOVOSORT start	1500212638
HG00111.lowcoverage.chr20.smallregion	ALL	NOVOSORT end	1500212639
HG00111.lowcoverage.chr20.smallregion	ALL	BWAMEM start	1500212626
HG00111.lowcoverage.chr20.smallregion	ALL	BWAMEM end	1500212637
HG00111.lowcoverage.chr20.smallregion	20	PrintReads start	1500212640
HG00111.lowcoverage.chr20.smallregion	20	PrintReads end	1500212776
HG00111.lowcoverage.chr20.smallregion	20	RealignerTargetCreator start	1500212640
HG00111.lowcoverage.chr20.smallregion	20	RealignerTargetCreator end	1500212708
HG00111.lowcoverage.chr20.smallregion	20	BaseRecalibrator start	1500212640
HG00111.lowcoverage.chr20.smallregion	20	BaseRecalibrator end	1500212751
HG00111.lowcoverage.chr20.smallregion	20	IndelRealigner start	1500212640
HG00111.lowcoverage.chr20.smallregion	20	IndelRealigner end	1500212725
HG00111.lowcoverage.chr20.smallregion	20	HaplotypeCaller start	1500212640
HG00111.lowcoverage.chr20.smallregion	20	HaplotypeCaller end	1500213005
HG00111.lowcoverage.chr20.smallregion	ALL	CombineGVCFs start	1500213005
HG00111.lowcoverage.chr20.smallregion	ALL	CombineGVCFs end	1500213116
HG00120.lowcoverage.chr20.smallregion	ALL	SAMTOOLS_VIEW start	1500213636
HG00120.lowcoverage.chr20.smallregion	ALL	SAMTOOLS_VIEW end	1500213646
HG00120.lowcoverage.chr20.smallregion	ALL	NOVOSORT start	1500213646
HG00120.lowcoverage.chr20.smallregion	ALL	NOVOSORT end	1500213647
HG00120.lowcoverage.chr20.smallregion	ALL	BWAMEM start	1500213636
HG00120.lowcoverage.chr20.smallregion	ALL	BWAMEM end	1500213646
HG00120.lowcoverage.chr20.smallregion	20	HaplotypeCaller start	1500213649
HG00120.lowcoverage.chr20.smallregion	20	HaplotypeCaller end	1500213935
HG00120.lowcoverage.chr20.smallregion	20	RealignerTargetCreator start	1500213649
HG00120.lowcoverage.chr20.smallregion	20	RealignerTargetCreator end	1500213699
HG00120.lowcoverage.chr20.smallregion	20	IndelRealigner start	1500213649
HG00120.lowcoverage.chr20.smallregion	20	IndelRealigner end	1500213712
HG00120.lowcoverage.chr20.smallregion	20	PrintReads start	1500213649
HG00120.lowcoverage.chr20.smallregion	20	PrintReads end	1500213746
HG00120.lowcoverage.chr20.smallregion	20	BaseRecalibrator start	1500213649
HG00120.lowcoverage.chr20.smallregion	20	BaseRecalibrator end	1500213729
HG00120.lowcoverage.chr20.smallregion	ALL	CombineGVCFs start	1500213935
HG00120.lowcoverage.chr20.smallregion	ALL	CombineGVCFs end	1500214040
ALL	ALL	GenotypeGVCFs start	1500213636
ALL	ALL	GenotypeGVCFs end	1500214103
